Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,3009,654298.023,282,61320.054000000004
2298,16.1495,0,0.0,0,0.0
2235,73.9095,41,3030.2895,37,2734.6515
562,151.883,1556,236329.948,527,80042.341
2322,74.3347,29,2155.7063,18,1338.0246
533,77.6496,1006,78115.4976,742,57616.00320000001
655,136.191,106,14436.246000000001,124,16887.684
414,208.958,7924,1655783.192,3988,833324.504
253,149.505,3654,546291.27,399,59652.494999999995
853,129.616,79,10239.664,69,8943.504
907,262.418,1570,411996.26,441,115726.338
1114,12.9007,16,206.4112,2,25.8014
939,1055.11,16118,17006262.979999997,4859,5126779.489999999
2606,11.2554,43,483.9822,68,765.3672
2837,150.956,4904,740288.2239999999,682,102951.992
1793,150.359,39,5864.001,103,15486.977
1046,85.9267,2347,201669.9649,314,26980.983799999998
554,46.3771,327,15165.3117,104,4823.2184
1970,47.9169,3721,178298.7849,234,11212.5546

weighted_avg,NA,NA,21760915.756299995,NA,6526611.983699999
weighted_%,NA,NA,0.7692759846781859,NA,0.23072401532181405
weighted_total,28287527.739999995
