Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,24457,5318101.279
2298,16.1495,0,0.0
2235,73.9095,178,13155.891
562,151.883,3710,563485.93
2322,74.3347,59,4385.7473
533,77.6496,3380,262455.64800000004
655,136.191,478,65099.298
414,208.958,57149,11941740.742
253,149.505,18331,2740576.155
853,129.616,227,29422.832000000002
907,262.418,2052,538481.736
1114,12.9007,8,103.2056
939,1055.11,116016,122409641.75999999
2606,11.2554,251,2825.1054
2837,150.956,16188,2443675.7279999997
1793,150.359,239,35935.801
1046,85.9267,16317,1402065.9638999999
554,46.3771,495,22956.6645
1970,47.9169,762,36512.6778

weighted_avg,NA,NA,147830622.16449997
weighted_%,NA,NA,1.0
weighted_total,147830622.16449997
