Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1576428,342789539.316,450040,97859847.88
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555949,114999412.61549999,329707,24368479.5165
562,151.883,1180161,179246393.16300002,895233,135970673.73900002
2322,74.3347,1462505,108714870.4235,266651,19821422.0897
533,77.6496,1550241,120375593.55360001,1663652,129181912.3392
655,136.191,1191916,162328231.956,163398,22253337.018
414,208.958,1457710,304600166.18,1078545,225370606.10999998
253,149.505,1158214,173158784.07,617191,92273140.455
853,129.616,1843028,238885917.24800003,1250665,162106194.64000002
907,262.418,1412408,370641282.544,1763213,462698829.03400004
1114,12.9007,412488,5321383.9416000005,155598,2007323.1186000002
939,1055.11,1288562,1359574651.82,1784227,1882555749.9699998
2606,11.2554,1581966,17805660.1164,180336,2029753.8144
2837,150.956,1269397,191623093.53199998,771246,116424211.17599998
1793,150.359,1485547,223365361.37300003,1099487,165317765.833
1046,85.9267,1114144,95734717.2448,311260,26745544.641999997
554,46.3771,1367072,63400834.8512,799961,37099871.2931
1970,47.9169,1330205,63739299.964499995,36001,1725056.3169

weighted_avg,NA,NA,4156923034.4701004,NA,3606338421.3164
weighted_%,NA,NA,0.5354609088132225,NA,0.46453909118677744
weighted_total,7763261455.786501
