Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2766,217.447,4133873,898898282.2310001
2298,16.1495,2878184,46481232.508
2235,73.9095,12421405,918059832.8475
562,151.883,3922506,595761978.7980001
2322,74.3347,4288258,318766371.9526
533,77.6496,9338663,725143446.4848001
655,136.191,4315166,587686772.706
414,208.958,4736698,989770940.684
253,149.505,5102882,762906373.41
853,129.616,12751829,1652841067.6640003
907,262.418,5278843,1385263422.374
1114,12.9007,7867572,101497186.1004
939,1055.11,4950846,5223687123.059999
2606,11.2554,48697747,548112621.5838
2837,150.956,4639608,700376665.2479999
1793,150.359,18320365,2754631761.0350003
1046,85.9267,4306383,370033280.1261
554,46.3771,3761408,174443194.95679998
1970,47.9169,76609882,3670908054.8058

weighted_avg,NA,NA,22425269608.575798
weighted_%,NA,NA,1.0
weighted_total,22425269608.575798
