Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2766,217.447,679374915,147728037142.005
2298,16.1495,514461305,8308292845.0975
2235,73.9095,2320289750,171491455277.625
562,151.883,688776166,104613390420.578
2322,74.3347,705221980,52422464316.706
533,77.6496,1560342246,121159951265.00162
655,136.191,951871955,129636393423.405
414,208.958,869161280,181618202746.24
253,149.505,964112626,144139658150.13
853,129.616,2213322229,286881974034.064
907,262.418,921015526,241691052301.868
1114,12.9007,1257419647,16221593640.0529
939,1055.11,866091873,913822196121.0299
2606,11.2554,7596850763,85505594077.8702
2837,150.956,902975900,136309629960.4
1793,150.359,3213081696,483115750728.864
1046,85.9267,866226810,74432011234.827
554,46.3771,663716062,30781226178.980198
1970,47.9169,9932691765,475943798034.3285

weighted_avg,NA,NA,3805822671899.073
weighted_%,NA,NA,1.0
weighted_total,3805822671899.073
