Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
2766,217.447,1823893,396600061.171,496510,107964609.97,4709,1023957.9230000001,0,0.0,4809,1045702.623,98,21309.806,70,15221.29
2298,16.1495,1086340,17543847.83,128566,2076276.6169999999,539,8704.5805,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,1140957,84327561.3915,320046,23654439.836999997,6876,508201.72199999995,0,0.0,8,591.276,30,2217.285,95,7021.402499999999
562,151.883,1533730,232947513.59,312960,47533303.68,17401,2642916.083,0,0.0,248,37666.984000000004,218,33110.494,339,51488.33700000001
2322,74.3347,1484752,110368594.4944,352247,26184175.0709,2923,217280.32809999998,0,0.0,1,74.3347,11,817.6817,15,1115.0205
533,77.6496,1562543,121330838.93280001,315593,24505670.212800004,33936,2635116.8256,0,0.0,195,15141.672,404,31370.438400000003,482,37427.107200000006
655,136.191,991793,135073280.463,508057,69192790.887,2232,303978.31200000003,0,0.0,5,680.955,12,1634.292,86,11712.426
414,208.958,1124000,234868792.0,475001,99255258.958,21019,4392088.202,0,0.0,5776,1206941.408,3389,708158.662,4203,878250.474
253,149.505,1087304,162557384.51999998,647683,96831846.91499999,14796,2212075.98,0,0.0,1893,283012.96499999997,161,24070.305,53,7923.764999999999
853,129.616,1334317,172948832.272,285348,36985666.368,22839,2960299.8240000005,0,0.0,8,1036.928,76,9850.816,68,8813.888
907,262.418,1252774,328750447.532,469946,123322289.428,57072,14976720.096,0,0.0,54,14170.572,305,80037.49,97,25454.546000000002
1114,12.9007,4131443,53298506.7101,383787,4951120.9509000005,3672,47371.3704,1,12.9007,0,0.0,14,180.6098,5,64.5035
939,1055.11,822555,867886006.05,714025,753374917.7499999,36625,38643403.75,0,0.0,12905,13616194.549999999,4011,4232046.21,4760,5022323.6
2606,11.2554,5690013,64043372.320199996,386430,4349424.222,3721,41881.3434,0,0.0,2,22.5108,28,315.1512,71,799.1333999999999
2837,150.956,1165470,175934689.32,454977,68681508.012,17691,2670562.596,1,150.956,2356,355652.33599999995,143,21586.708,123,18567.588
1793,150.359,1424023,214114674.257,333007,50070599.513000004,23722,3566816.1980000003,0,0.0,17,2556.103,93,13983.387,89,13381.951000000001
1046,85.9267,1129740,97074830.058,614077,52765610.1559,8627,741289.6409,0,0.0,2033,174688.9811,156,13404.5652,210,18044.607
554,46.3771,1266790,58750046.508999996,146591,6798465.4661,19625,910150.5875,0,0.0,124,5750.7604,93,4313.0703,62,2875.3802
1970,47.9169,63318312,3034017224.2728,427105,20465547.5745,672,32200.156799999997,0,0.0,257,12314.6433,3,143.7507,7,335.4183

weighted_avg,NA,NA,6562436503.6938,NA,1618963521.5881,NA,78535015.51920001,NA,163.8567,NA,16772199.602299998,NA,5198550.7223,NA,6120820.4376
weighted_%,NA,NA,0.7917972131987043,NA,0.19533763167724058,NA,0.00947571932949266,NA,1.9770290859333822e-08,NA,0.0020236661942311424,NA,0.0006272362364607057,NA,0.0007385135935796762
weighted_total,8288026775.42
