Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,406710,88437869.37
2298,16.1495,0,0.0
2235,73.9095,28545,2109746.6774999998
562,151.883,214475,32575106.425
2322,74.3347,9575,711754.7525
533,77.6496,619790,48126445.58400001
655,136.191,100830,13732138.53
414,208.958,2390085,499427381.43
253,149.505,719500,107568847.5
853,129.616,54635,7081570.160000001
907,262.418,127330,33413683.94
1114,12.9007,6550,84499.585
939,1055.11,3138795,3311773992.45
2606,11.2554,68135,766886.679
2837,150.956,442670,66823692.519999996
1793,150.359,67170,10099614.030000001
1046,85.9267,760650,65360144.355
554,46.3771,68165,3161295.0215
1970,47.9169,2577385,123500299.3065

weighted_avg,NA,NA,4414754968.316
weighted_%,NA,NA,1.0
weighted_total,4414754968.316
