Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,77054,16755161.138,23718,5157407.946
2298,16.1495,0,0.0,0,0.0
2235,73.9095,1,73.9095,61,4508.4794999999995
562,151.883,12333,1873173.039,3702,562270.866
2322,74.3347,6,446.0082,8,594.6776
533,77.6496,704,54665.318400000004,1603,124472.30880000001
655,136.191,27,3677.157,86,11712.426
414,208.958,47744,9976490.752,27365,5718135.67
253,149.505,101723,15208097.115,14345,2144649.225
853,129.616,8,1036.928,109,14128.144000000002
907,262.418,7589,1991490.202,3764,987741.3520000001
1114,12.9007,764,9856.1348,62,799.8434
939,1055.11,111911,118078415.21,62436,65876847.95999999
2606,11.2554,12,135.0648,49,551.5146
2837,150.956,117685,17765256.86,21577,3257177.6119999997
1793,150.359,5,751.7950000000001,70,10525.130000000001
1046,85.9267,82652,7102013.608399999,12571,1080184.5457
554,46.3771,1275,59130.8025,813,37704.5823
1970,47.9169,2101,100673.4069,936,44850.2184

weighted_avg,NA,NA,188980544.44949993,NA,85034262.50129999
weighted_%,NA,NA,0.6896727463469953,NA,0.3103272536530046
weighted_total,274014806.95079994
