Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2766,217.447,79538,17295299.486,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,4259,314780.56049999996,0,0.0
562,151.883,30982,4705639.106000001,0,0.0
2322,74.3347,1592,118340.8424,0,0.0
533,77.6496,67627,5251209.4992,0,0.0
655,136.191,13688,1864182.408,0,0.0
414,208.958,332051,69384712.858,0,0.0
253,149.505,129950,19428174.75,0,0.0
853,129.616,6784,879314.9440000001,0,0.0
907,262.418,18816,4937657.088,0,0.0
1114,12.9007,1141,14719.6987,0,0.0
939,1055.11,469499,495373089.8899999,0,0.0
2606,11.2554,7795,87735.843,0,0.0
2837,150.956,76545,11554927.02,0,0.0
1793,150.359,6712,1009209.608,0,0.0
1046,85.9267,137532,11817670.9044,0,0.0
554,46.3771,7644,354506.5524,0,0.0
1970,47.9169,440890,21126082.040999997,0,0.0

weighted_avg,NA,NA,665517253.0996,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,665517253.0996
