Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,27401,5958265.247,12514,2721131.758
2298,16.1495,0,0.0,0,0.0
2235,73.9095,8,591.276,46,3399.8369999999995
562,151.883,3528,535843.224,2170,329586.11000000004
2322,74.3347,18,1338.0246,13,966.3511
533,77.6496,639,49618.0944,2940,228289.82400000002
655,136.191,87,11848.617,188,25603.908
414,208.958,16336,3413537.888,25308,5288309.064
253,149.505,27880,4168199.4,7632,1141022.16
853,129.616,39,5055.024,135,17498.160000000003
907,262.418,4163,1092446.134,1887,495182.766
1114,12.9007,82,1057.8574,0,0.0
939,1055.11,32938,34753213.18,42022,44337832.419999994
2606,11.2554,17,191.3418,125,1406.925
2837,150.956,28610,4318851.159999999,10284,1552431.504
1793,150.359,23,3458.257,203,30522.877
1046,85.9267,22688,1949504.9696,7172,616266.2924
554,46.3771,781,36220.5151,711,32974.1181
1970,47.9169,6093,291957.6717,1224,58650.285599999996

weighted_avg,NA,NA,56591197.88159999,NA,56881074.360199995
weighted_%,NA,NA,0.49872269906615474,NA,0.5012773009338454
weighted_total,113472272.24179998
