Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2766,217.447,2026468,440649387.196,172233,37451549.151,696,151343.112,42,9132.774
2298,16.1495,1309424,21146542.888,0,0.0,0,0.0,0,0.0
2235,73.9095,1885656,139367892.132,0,0.0,0,0.0,269,19881.655499999997
562,151.883,2075394,315217066.902,22142,3362993.3860000004,3516,534020.628,1748,265491.484
2322,74.3347,1729156,128536292.5132,18,1338.0246,25,1858.3674999999998,93,6913.1271
533,77.6496,3213893,249557505.89280003,2349,182398.91040000002,1717,133324.36320000002,7452,578644.8192
655,136.191,1355314,184581568.974,3,408.573,8,1089.528,914,124478.57400000001
414,208.958,2536255,529970772.29,135660,28347242.28,25320,5290816.56,25343,5295622.594
253,149.505,1775405,265431924.525,149044,22282823.22,27959,4180010.295,892,133358.46
853,129.616,3093693,400992111.8880001,0,0.0,3,388.84800000000007,520,67400.32
907,262.418,3175621,833340111.5780001,19577,5137357.186,1013,265829.434,521,136719.778
1114,12.9007,568086,7328707.0602,911,11752.5377,8,103.2056,16,206.4112
939,1055.11,3072789,3242130401.7899995,325474,343410872.14,44513,46966111.42999999,20402,21526354.22
2606,11.2554,1762302,19835413.9308,0,0.0,2,22.5108,1352,15217.300799999999
2837,150.956,2040643,308047304.708,199930,30180633.08,1635,246813.05999999997,240,36229.439999999995
1793,150.359,2585034,388683127.20600003,1,150.359,3,451.077,2257,339360.26300000004
1046,85.9267,1425404,122480261.88679999,118655,10195632.5885,29893,2568606.8430999997,1196,102768.3332
554,46.3771,2167033,100500706.1443,2938,136255.9198,1297,60151.098699999995,681,31582.805099999998
1970,47.9169,1366206,65464356.281399995,175,8385.4575,89,4264.6041,22593,1082586.5217

weighted_avg,NA,NA,7763261455.786501,NA,480709792.8135,NA,60405204.96499999,NA,29771948.8808
weighted_%,NA,NA,0.9315002662429476,NA,0.05767953360086884,NA,0.007247915689535001,NA,0.003572284466648434
weighted_total,8334148402.445802
