Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2766,217.447,85825,18662388.775,47231,10270239.257
2298,16.1495,0,0.0,0,0.0
2235,73.9095,30,2217.285,185,13673.2575
562,151.883,14189,2155067.887,7299,1108594.017
2322,74.3347,34,2527.3797999999997,71,5277.7636999999995
533,77.6496,1522,118182.69120000002,5395,418919.59200000006
655,136.191,105,14300.055,545,74224.095
414,208.958,58306,12183505.148,84458,17648174.764
253,149.505,111989,16742915.445,30394,4544054.97
853,129.616,72,9332.352,277,35903.632000000005
907,262.418,9263,2430777.934,5798,1521499.564
1114,12.9007,785,10127.049500000001,68,877.2476
939,1055.11,137235,144798020.85,178194,188014271.33999997
2606,11.2554,46,517.7484,259,2915.1486
2837,150.956,128214,19354672.584,34697,5237720.3319999995
1793,150.359,27,4059.693,256,38491.904
1046,85.9267,92376,7937564.839199999,27508,2363671.6636
554,46.3771,1653,76661.3463,1421,65901.8591
1970,47.9169,6437,308441.0853,1893,90706.6917

weighted_avg,NA,NA,224811280.14769995,NA,231455117.0988
weighted_%,NA,NA,0.49271934445403537,NA,0.5072806555459646
weighted_total,456266397.24649996
