cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
4,7f717d4b9f70,7f717d4ba008,0,676,0,0,0,1,0,1,0,0,4
2,7f7180c90fd0,7f7180c9124e,0,337,0,118,0,0,0,1,0,0,238
2,7f717d490f67,0,0,676,0,0,0,0,0,0,0,0,0
7,7f717d4b9357,7f717d4bc8c2,0,676,0,0,0,0,0,0,0,0,0
2,7f7180c90ff5,0,0,165,0,0,0,0,0,0,0,0,0
7,7f717d49130b,7f717d5e9420,0,676,0,0,0,0,0,0,0,0,0
2,7f7180c90fba,0,0,337,0,0,0,0,0,0,0,0,0
2,7f7180c90ffd,7f7180c91293,0,165,0,0,0,0,0,1,0,0,2
2,7f717d490fbe,7f717d49101f,0,676,0,1,0,0,0,1,0,0,4
3,7f717d490fb3,7f717d5c9b70,0,676,0,0,0,0,0,1,0,0,2
3,7f717d490fa0,7f717d5c9ad0,0,676,0,0,0,0,0,1,0,0,2
2,7f717d490fe3,7f717d4911a8,0,676,0,0,0,0,0,1,0,0,2
7,7f717d4b9fda,7f717d26fb85,0,676,0,0,0,0,0,0,0,0,0
2,7f717d490fd6,7f717d491240,0,676,0,0,0,0,0,1,0,0,2
2,7f717d490fd0,0,0,676,0,0,0,0,0,0,0,0,0
2,7f717d490fc5,0,0,676,0,0,0,0,0,0,0,0,0
2,7f717d490f80,7f717d491325,0,676,0,1,0,0,0,1,0,0,4
3,7f717d490e34,7f717d495500,0,338,0,0,0,0,0,1,0,0,2
7,7f7180c916cb,7f717d52be0c,0,222,0,0,0,0,0,0,0,0,0
7,7f7180c916de,7f717d52be0c,0,115,0,0,0,0,0,0,0,0,0
1,7f717d490e57,7f717d495d90,0,338,0,0,0,0,0,1,0,0,2
7,7f717d4b9a08,7f717d4b9f95,0,676,0,0,0,0,0,0,0,0,0
1,7f7180c90ebb,7f7180c90e59,0,1,0,0,0,0,0,1,0,0,2
3,7f717d490ebd,7f717d495d90,0,338,0,0,0,0,0,1,0,0,2
2,7f7180c90e5c,7f7180c90f90,0,1,0,0,0,0,0,1,0,0,2
2,7f717d490ed9,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d490e8e,7f717d495500,0,338,0,0,0,0,0,1,0,0,2
2,7f717d490ec5,7f717d490ecc,0,338,0,0,0,0,0,1,0,0,2
7,7f717d486d3d,7f717d49108a,0,10816,0,0,0,0,0,0,0,0,0
2,7f717d4a712d,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d4a716d,7f717d346550,0,338,0,0,0,0,0,1,0,0,2
7,7f717d426d66,7f717d4a4f73,0,338,0,0,0,0,0,0,0,0,0
1,7f717d5af11a,7f717d5e9d10,0,1014,0,0,0,0,0,1,0,0,2
3,7f717d4a711a,7f717d5f5fb0,0,338,0,0,0,0,0,1,0,0,2
3,7f717d4a790d,7f717d5e74f0,0,338,0,0,0,0,0,1,0,0,2
7,7f717d48ed08,7f717d48b977,0,676,0,0,0,0,0,0,0,0,0
3,7f717d4a7146,7f717d4a6970,0,338,0,0,0,0,0,1,0,0,2
1,7f717d4a71b5,0,0,338,0,0,0,0,0,338,0,0,676
3,7f717d4a71b0,7f717d5f5e60,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a79ec,7f717d4a7ae0,0,338,0,0,0,0,0,1,0,0,2
3,7f717d4a71a8,7f717d5f5bb0,0,338,0,0,0,0,0,1,0,0,2
1,7f717d4a719f,7f717d4a700d,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a799b,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d4a719a,7f717d5f5f30,0,338,0,0,0,0,0,1,0,0,2
3,7f717d4a7990,7f717d16d770,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a79c4,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d4a7075,0,0,338,0,0,0,0,0,0,0,0,0
3,7f717d427c28,7f717d4231f0,0,20,0,0,0,0,0,1,0,0,2
2,7f717d427c22,7f717d427c4b,0,675,0,16,0,0,0,1,0,0,34
2,7f717d427c1e,0,0,675,0,0,0,0,0,0,0,0,0
2,7f717d427c0f,0,0,675,0,0,0,0,0,0,0,0,0
2,7f717d427c06,0,0,675,0,0,0,0,0,0,0,0,0
2,7f717d4a70fa,7f717d4a71a8,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a78f0,7f717d4a7903,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a78e4,0,0,338,0,0,0,0,0,0,0,0,0
7,7f717d4a6c93,7f717d4a6fbe,0,338,0,0,0,0,0,0,0,0,0
7,7f7180c26432,7f717d481cf1,0,302,0,0,0,0,0,0,0,0,0
7,7f717d48e485,7f717d48b964,0,1014,0,0,0,0,0,0,0,0,0
2,7f7180c8f3cc,7f7180c8f4b0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7b30,0,0,338,0,0,0,0,0,0,0,0,0
8,7f7181c0d78e,7f7181c0d790,0,341,0,0,0,0,0,0,0,0,0
2,7f7180c8f391,7f7180c8f3b0,0,338,0,0,0,0,0,1,0,0,2
2,7f717d5a7f6e,7f717d5a8070,0,338,0,0,0,0,0,1,0,0,2
3,7f717d4a7b69,7f717d600520,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7b20,0,0,338,0,0,0,0,0,0,0,0,0
2,7f717d5a7318,7f717d5a7380,0,338,0,0,0,0,0,1,0,0,2
3,7f717d4a7b13,7f717d4a6340,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7b4b,0,0,338,0,0,0,0,0,0,0,0,0
1,7f717d4a7304,7f717d4a72c6,0,338,0,0,0,0,0,1,0,0,2
2,7f717d4a7b41,7f717d4a7b41,0,2366,0,2,0,0,0,1,0,0,6
