Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,87431,3930425.6326,23701,1065468.9746
812,334.908,821581,275154049.54800004,16584,5554114.272
1358,97.2156,674945,65615183.142,26827,2608002.9011999997
1778,40.8635,14953,611031.9155,13625,556765.1875
828,45.4532,8640,392715.64800000004,4652,211448.2864
2213,8.07837,3826,30907.84362,1360,10986.5832
1726,65.5195,3907,255984.68649999998,2893,189547.9135
2054,37.2896,121867,4544371.6832,45791,1707528.0736
1903,16.1097,12409,199905.2673,4144,66758.5968
509,133.977,88581,11867816.637,1845,247187.565
1751,10.0901,2476,24983.0876,4087,41238.2387
62,40.4224,4055,163912.83200000002,3715,150169.21600000001
2151,40.7196,83788,3411813.8448,25290,1029798.684
239,98.774,7256,716704.144,298,29434.652000000002
1893,44.3029,348,15417.4092,190,8417.551
1305,111.513,840227,93696233.451,49232,5490008.016
1673,34.2884,1721,59010.33640000001,1444,49512.44960000001
492,45.4197,171250,7778123.625,3388,153881.9436
2249,320.874,859552,275807888.448,42528,13646129.472000001
264,17.7912,22045,392207.004,23014,409446.6768
2123,26.1783,411,10759.2813,422,11047.2426
116,27.1629,1569,42618.5901,1744,47372.0976
1159,18.1708,17254,313518.9832,6104,110914.5632
1270,263.009,702417,184741992.75300002,248597,65383248.373
2165,28.2044,1,28.2044,0,0.0
1152,171.372,19759,3386139.348,6906,1183495.0320000001
792,79.0312,16498,1303856.7375999999,215,16991.708
1979,51.6033,47225,2436965.8425,3155,162808.4115
2185,56.1164,21437,1202967.2667999999,12195,684339.498

weighted_avg,NA,NA,938107533.19262,NA,100826062.17940003
weighted_%,NA,NA,0.9029523516916437,NA,0.09704764830835638
weighted_total,1038933595.37202
