Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170523,7665793.255799999,992,44594.9632,3855296,173313289.5616
812,334.908,63679,21326606.532,871,291704.868,4078673,1365980217.084
1358,97.2156,279621,27183523.2876,6400,622179.84,3276951,318570757.6356
1778,40.8635,350884,14338348.334,2875,117482.5625,17512066,715604308.991
828,45.4532,963054,43773886.0728,9262,420987.5384,3457257,157143393.87240002
2213,8.07837,808506,6531410.61522,55704,449997.52248,4051958,32733215.948459998
1726,65.5195,95482,6255932.898999999,1708,111907.30599999998,3931770,257607604.515
2054,37.2896,52340,1951737.664,408,15214.1568,3320256,123811018.1376
1903,16.1097,652587,10512980.7939,2534,40821.9798,2531340,40779127.998
509,133.977,1016038,136125723.12600002,4958,664257.966,2627754,352058597.658
1751,10.0901,299414,3021117.2013999997,10569,106642.2669,3208869,32377809.096899997
62,40.4224,59223,2393935.7952,562,22717.3888,4102385,165828247.42400002
2151,40.7196,458295,18661589.082,8545,347948.982,3712879,151186947.7284
239,98.774,96292,9511146.008,86,8494.564,3892130,384441248.62
1893,44.3029,413760,18330767.904,672,29771.5488,1610940,71369313.726
1305,111.513,296915,33109882.395000003,11863,1322878.719,3681851,410574250.563
1673,34.2884,85270,2923771.8680000002,60,2057.304,4745754,162724311.45360002
492,45.4197,636247,28898147.8659,5577,253305.66689999998,2592806,117764470.67819999
2249,320.874,159058,51037576.692,9479,3041564.646,4313900,1384218348.6000001
264,17.7912,624651,11113290.8712,67831,1206794.8872,3093859,55043464.2408
2123,26.1783,350056,9163870.9848,564,14764.5612,1867062,48876509.1546
116,27.1629,267665,7270557.628500001,1088,29553.2352,2899431,78756954.3099
1159,18.1708,121236,2202955.1088,22255,404391.154,3422475,62189108.73
1270,263.009,171881,45206249.929000005,6449,1696145.0410000002,3741946,984165475.514
2165,28.2044,119356,3366364.3664,3689,104046.0316,3387278,95536143.6232
1152,171.372,405206,69440962.632,8438,1446036.9360000002,3433743,588447405.396
792,79.0312,75440,5962113.728,72,5690.2464,3727296,294572675.63519996
1979,51.6033,629711,32495165.6463,17593,907856.8568999999,2472711,127600047.5463
2185,56.1164,988091,55448109.792399995,4714,264532.7096,3106039,174299726.9396

weighted_avg,NA,NA,685223518.0792199,NA,13994341.44868,NA,8927573990.381361
weighted_%,NA,NA,0.07117880273745386,NA,0.0014536869257032814,NA,0.9273675103368427
weighted_total,9626791849.909262
