Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2264,44.9546,15.663,704.1238998
812,334.908,17.275,5785.535699999999
1358,97.2156,16.336,1588.1140415999998
1778,40.8635,16.006,654.061181
828,45.4532,16.109,732.2055988000001
2213,8.07837,12.844,103.75858428
1726,65.5195,16.166,1059.1882369999998
2054,37.2896,18.12,675.687552
1903,16.1097,11.515,185.5031955
509,133.977,19.636,2630.772372
1751,10.0901,18.318,184.83045180000002
62,40.4224,15.281,617.6946944000001
2151,40.7196,16.943,689.9121828000001
239,98.774,16.526,1632.339124
1893,44.3029,14.577,645.8033733
1305,111.513,15.385,1715.6275050000002
1673,34.2884,11.735,402.374374
492,45.4197,18.492,839.9010924
2249,320.874,14.996,4811.826504000001
264,17.7912,20.123,358.0123176
2123,26.1783,21.46,561.786318
116,27.1629,21.593,586.5284997
1159,18.1708,16.794,305.1604152
1270,263.009,14.821,3898.0563890000003
2165,28.2044,17.667,498.28713480000005
1152,171.372,14.08,2412.9177600000003
792,79.0312,17.773,1404.6215175999998
1979,51.6033,16.95,874.6759349999999
2185,56.1164,16.124,904.8208335999999

weighted_avg,NA,NA,37464.12678418
weighted_%,NA,NA,1.0
weighted_total,37464.12678418
