Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,151064397,6791039541.3762
812,334.908,160293537,53683587889.596
1358,97.2156,221751289,21557684610.908398
1778,40.8635,508866591,20794069941.328503
828,45.4532,362629580,16482674825.656
2213,8.07837,206040361,1664470271.09157
1726,65.5195,130444981,8546689932.629499
2054,37.2896,128960422,4808882552.2112
1903,16.1097,148880846,2398425764.8062
509,133.977,445757201,59721212518.377
1751,10.0901,168582620,1701015494.062
62,40.4224,170501081,6892062896.614401
2151,40.7196,360432387,14676662625.6852
239,98.774,126905044,12534918816.056
1893,44.3029,172205088,7629184793.1552
1305,111.513,269297848,30030210924.024002
1673,34.2884,176811866,6062595986.154401
492,45.4197,330060754,14991260428.4538
2249,320.874,120726423,38737970253.702
264,17.7912,673612079,11984367219.9048
2123,26.1783,423419980,11084415262.434
116,27.1629,242325628,6582266800.8012
1159,18.1708,147753284,2684795372.9072
1270,263.009,187058519,49198074023.671005
2165,28.2044,151345635,4268612827.794
1152,171.372,139950254,23983554928.488003
792,79.0312,196913856,15562338336.3072
1979,51.6033,202556530,10452585384.549
2185,56.1164,619251858,34750184964.2712

weighted_avg,NA,NA,500255815187.0153
weighted_%,NA,NA,1.0
weighted_total,500255815187.0153
