Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4350227,195562714.6942
812,334.908,3898228,1305547743.0240002
1358,97.2156,5537470,538328468.532
1778,40.8635,10648877,435150385.2895
828,45.4532,9843938,447438482.7016
2213,8.07837,4730055,38211134.410349995
1726,65.5195,2977692,195096890.994
2054,37.2896,2865134,106839700.8064
1903,16.1097,3124685,50337737.9445
509,133.977,9570277,1282197001.629
1751,10.0901,3677061,37101913.1961
62,40.4224,3930160,158866499.58400002
2151,40.7196,9262758,377175800.6568
239,98.774,2942033,290596367.542
1893,44.3029,3571237,158216155.6873
1305,111.513,6821037,760634298.9810001
1673,34.2884,3975071,136298824.47640002
492,45.4197,7337675,333274997.1975
2249,320.874,4539005,1456448690.3700001
264,17.7912,16036650,285311247.48
2123,26.1783,10477813,274291332.0579
116,27.1629,6206593,168589064.9997
1159,18.1708,3877561,70458385.4188
1270,263.009,6293791,1655323677.1190002
2165,28.2044,3272219,92290973.5636
1152,171.372,3784550,648565902.6
792,79.0312,4205670,332379146.904
1979,51.6033,4513997,232937141.3901
2185,56.1164,15921127,893436331.1827999

weighted_avg,NA,NA,12956907010.43255
weighted_%,NA,NA,1.0
weighted_total,12956907010.43255
