Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,4210,189258.866,1801,80963.2346
812,334.908,39579,13255323.732,2370,793731.9600000001
1358,97.2156,23695,2303523.642,3654,355225.8024
1778,40.8635,9,367.7715,22,898.9970000000001
828,45.4532,522,23726.5704,265,12045.098
2213,8.07837,14,113.09718,14,113.09718
1726,65.5195,3,196.55849999999998,0,0.0
2054,37.2896,354,13200.5184,152,5668.0192
1903,16.1097,62,998.8014000000001,9,144.9873
509,133.977,3486,467043.822,156,20900.412
1751,10.0901,0,0.0,0,0.0
62,40.4224,956,38643.8144,104,4203.9296
2151,40.7196,282,11482.9272,207,8428.9572
239,98.774,146,14421.004,17,1679.158
1893,44.3029,0,0.0,0,0.0
1305,111.513,30152,3362339.9760000003,4921,548755.473
1673,34.2884,51,1748.7084000000002,19,651.4796
492,45.4197,6849,311079.5253,682,30976.235399999998
2249,320.874,46458,14907164.292000001,8526,2735771.7240000004
264,17.7912,3498,62233.6176,541,9625.0392
2123,26.1783,10,261.783,11,287.9613
116,27.1629,77,2091.5433,81,2200.1949
1159,18.1708,337,6123.5596,259,4706.2372
1270,263.009,18700,4918268.3,6549,1722445.941
2165,28.2044,0,0.0,0,0.0
1152,171.372,356,61008.43200000001,141,24163.452
792,79.0312,711,56191.1832,0,0.0
1979,51.6033,370,19093.220999999998,56,2889.7848
2185,56.1164,56,3142.5184,34,1907.9576

weighted_avg,NA,NA,40029047.78478001,NA,6368385.132479999
weighted_%,NA,NA,0.8627427266539366,NA,0.13725727334606347
weighted_total,46397432.917260006
