Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,1102531712,49563872100.2752
812,334.908,1042184782,349036020970.056
1358,97.2156,1630070804,158468311253.34238
1778,40.8635,3156999919,129006066190.0565
828,45.4532,2691815242,122351616557.67441
2213,8.07837,1283505475,10368632124.07575
1726,65.5195,876158572,57405471558.15399
2054,37.2896,815408698,30406264184.9408
1903,16.1097,1120412128,18049503258.4416
509,133.977,3109667469,416623918494.213
1751,10.0901,1044111171,10535186126.5071
62,40.4224,1158422995,46826237673.088005
2151,40.7196,2619153200,106650870642.72
239,98.774,777791378,76825565570.572
1893,44.3029,1426279160,63188302997.564
1305,111.513,1911535864,213161098802.23203
1673,34.2884,1297080042,44474799312.1128
492,45.4197,2396861721,108864740309.3037
2249,320.874,983155162,315468929451.588
264,17.7912,4093595381,72829974142.4472
2123,26.1783,2017346029,52810689550.9707
116,27.1629,1529940032,41557608095.2128
1159,18.1708,932829608,16950260241.0464
1270,263.009,1565318350,411692813915.15
2165,28.2044,938399879,26467005547.2676
1152,171.372,1032269510,176902090467.72
792,79.0312,1270912086,100441707251.08319
1979,51.6033,1371752443,70786952841.8619
2185,56.1164,4302996173,241468654442.5372

weighted_avg,NA,NA,3539183164072.214
weighted_%,NA,NA,1.0
weighted_total,3539183164072.214
