Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,3182,143045.5372,1146,51517.9716
812,334.908,8291,2776722.228,323,108175.284
1358,97.2156,12397,1205181.7932,1660,161377.89599999998
1778,40.8635,3,122.5905,0,0.0
828,45.4532,360,16363.152,195,8863.374
2213,8.07837,13,105.01881,17,137.33229
1726,65.5195,24,1572.4679999999998,2,131.039
2054,37.2896,283,10552.9568,145,5406.992
1903,16.1097,18,289.9746,10,161.097
509,133.977,2513,336684.201,237,31752.549000000003
1751,10.0901,0,0.0,0,0.0
62,40.4224,593,23970.483200000002,141,5699.558400000001
2151,40.7196,211,8591.8356,163,6637.2948
239,98.774,122,12050.428,11,1086.5140000000001
1893,44.3029,0,0.0,0,0.0
1305,111.513,16524,1842640.8120000002,2298,256256.874
1673,34.2884,103,3531.7052000000003,20,685.768
492,45.4197,3240,147159.828,355,16123.9935
2249,320.874,19383,6219500.742000001,2841,911603.0340000001
264,17.7912,1158,20602.2096,338,6013.4256
2123,26.1783,51,1335.0933,1,26.1783
116,27.1629,317,8610.6393,32,869.2128
1159,18.1708,151,2743.7907999999998,219,3979.4052
1270,263.009,13487,3547202.3830000004,5667,1490472.003
2165,28.2044,3,84.6132,0,0.0
1152,171.372,246,42157.512,58,9939.576000000001
792,79.0312,732,57850.8384,6,474.18719999999996
1979,51.6033,925,47733.0525,100,5160.33
2185,56.1164,8,448.9312,28,1571.2592

weighted_avg,NA,NA,16476854.817409998,NA,3084122.148890001
weighted_%,NA,NA,0.8423329185345199,NA,0.15766708146548006
weighted_total,19560976.9663
