Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1646154,74002194.6084,4657,209353.5722
812,334.908,1635984,547904129.472,9075,3039290.1
1358,97.2156,1411980,137266482.88799998,14970,1455317.532
1778,40.8635,1418882,57980484.607,3,122.5905
828,45.4532,2655621,120706472.43720001,582,26453.762400000003
2213,8.07837,1257291,10156861.895669999,36,290.82132
1726,65.5195,1214076,79545652.482,26,1703.5069999999998
2054,37.2896,1418447,52893321.2512,487,18160.0352
1903,16.1097,835775,13464084.5175,33,531.6201
509,133.977,1357848,181920401.496,2821,377949.117
1751,10.0901,1291418,13030536.7618,0,0.0
62,40.4224,1550960,62693525.50400001,770,31125.248000000003
2151,40.7196,2244555,91397381.778,439,17875.9044
239,98.774,1440441,142278119.334,133,13136.942000000001
1893,44.3029,697881,30918152.1549,0,0.0
1305,111.513,1713144,191037826.872,20157,2247767.541
1673,34.2884,1528831,52421168.860400006,123,4217.4732
492,45.4197,1240335,56335643.5995,3688,167507.8536
2249,320.874,1929562,619146277.1880001,23951,7685253.174000001
264,17.7912,2874324,51137673.1488,1718,30565.2816
2123,26.1783,1359718,35595105.7194,53,1387.4499
116,27.1629,1296898,35227510.684200004,354,9615.6666
1159,18.1708,1561327,28370560.6516,390,7086.612
1270,263.009,2148035,564952537.315,25319,6659124.871
2165,28.2044,1061196,29930396.4624,3,84.6132
1152,171.372,1542960,264420141.12000003,338,57923.736000000004
792,79.0312,1208892,95540185.4304,739,58404.0568
1979,51.6033,1187868,61297908.7644,1047,54028.655099999996
2185,56.1164,2643322,148333714.6808,36,2020.1904

weighted_avg,NA,NA,3849904451.6845694,NA,22176297.92652
weighted_%,NA,NA,0.9942727697688776,NA,0.005727230231122474
weighted_total,3872080749.611089
