Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,381628977,17155978009.4442
812,334.908,270682828,90653844559.824
1358,97.2156,408352617,39698244673.2252
1778,40.8635,151381580,6185981194.33
828,45.4532,37973054,1725996818.0728002
2213,8.07837,13277297,107258917.76588999
1726,65.5195,40420043,2648301007.3384995
2054,37.2896,658844671,24568054243.7216
1903,16.1097,66089672,1064684789.0184
509,133.977,15758088,2111221355.976
1751,10.0901,43085614,434738153.8214
62,40.4224,60557763,2447890119.0912004
2151,40.7196,288652981,11753833925.1276
239,98.774,4706534,464883189.316
1893,44.3029,1189566,52701223.5414
1305,111.513,750511113,83691745743.96901
1673,34.2884,19935361,683551632.1124
492,45.4197,33751825,1532997765.9524999
2249,320.874,1014279589,325455948840.786
264,17.7912,160901433,2862629574.7896
2123,26.1783,2444124,63983011.309200004
116,27.1629,19652988,533832147.74520004
1159,18.1708,113789211,2067640995.2388
1270,263.009,4491686807,1181354055422.2632
2165,28.2044,0,0.0
1152,171.372,95541606,16373156103.432001
792,79.0312,1963358,155166538.7696
1979,51.6033,39533007,2040033620.1230998
2185,56.1164,106410324,5971364305.7136

weighted_avg,NA,NA,1823859717881.8184
weighted_%,NA,NA,1.0
weighted_total,1823859717881.8184
