Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,80,3596.368,536,24095.6656
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,2,81.727,0,0.0
828,45.4532,33,1499.9556,58,2636.2856
2213,8.07837,4,32.31348,9,72.70533
1726,65.5195,0,0.0,0,0.0
2054,37.2896,48,1789.9008,80,2983.168
1903,16.1097,4,64.4388,0,0.0
509,133.977,15,2009.655,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,19,768.0256,75,3031.6800000000003
2151,40.7196,11,447.9156,131,5334.2676
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,29,3233.877,0,0.0
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,113,36258.762,74,23744.676000000003
264,17.7912,31,551.5272,133,2366.2296
2123,26.1783,0,0.0,0,0.0
116,27.1629,3,81.4887,11,298.7919
1159,18.1708,14,254.3912,38,690.4904
1270,263.009,603,158594.427,1592,418710.32800000004
2165,28.2044,0,0.0,0,0.0
1152,171.372,4,685.488,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,2,112.2328,6,336.6984

weighted_avg,NA,NA,210632.56988,NA,484671.80563
weighted_%,NA,NA,0.3029357750344987,NA,0.6970642249655012
weighted_total,695304.37551
