Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,563190,25317981.174
812,334.908,447545,149886400.86
1358,97.2156,2191940,213090762.264
1778,40.8635,895,36572.832500000004
828,45.4532,191250,8692924.5
2213,8.07837,8795,71049.26415
1726,65.5195,1305,85502.9475
2054,37.2896,62835,2343092.016
1903,16.1097,5520,88925.544
509,133.977,482100,64590311.7
1751,10.0901,0,0.0
62,40.4224,110235,4455963.264
2151,40.7196,188350,7669536.66
239,98.774,7380,728952.12
1893,44.3029,0,0.0
1305,111.513,3287615,366611811.495
1673,34.2884,11065,379401.146
492,45.4197,574340,26086350.498
2249,320.874,1894270,607821991.98
264,17.7912,206580,3675306.096
2123,26.1783,6070,158902.281
116,27.1629,32755,889720.7895000001
1159,18.1708,104325,1895668.71
1270,263.009,5810485,1528209849.365
2165,28.2044,1805,50908.942
1152,171.372,50005,8569456.860000001
792,79.0312,46920,3708143.904
1979,51.6033,273810,14129499.572999999
2185,56.1164,10890,611107.596

weighted_avg,NA,NA,3039856094.38165
weighted_%,NA,NA,1.0
weighted_total,3039856094.38165
