Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1145150,51479760.19,1229108,55254058.4968
812,334.908,1044314,349749113.112,489811,164041622.388
1358,97.2156,932663,90669393.14279999,1057588,102814051.9728
1778,40.8635,1366569,55842792.3315,262163,10712897.750500001
828,45.4532,1161239,52782028.514800005,3166889,143945239.0948
2213,8.07837,1190448,9616879.40976,334792,2704573.64904
1726,65.5195,1226918,80387053.901,196235,12857219.0825
2054,37.2896,1359800,50706398.08,103635,3864507.696
1903,16.1097,818233,13181488.1601,35589,573328.1133
509,133.977,1054388,141263741.076,448731,60119633.187
1751,10.0901,1320502,13323997.2302,84539,853006.9639
62,40.4224,1386998,56065787.9552,451266,18241254.7584
2151,40.7196,1308690,53289333.324,2382503,97014569.1588
239,98.774,1447623,142987514.202,111122,10975964.428
1893,44.3029,673084,29819573.143600002,59791,2648914.6939
1305,111.513,1097760,122414510.88000001,1375477,153383566.701
1673,34.2884,1380016,47318540.61440001,380102,13033089.416800002
492,45.4197,908380,41258347.085999995,599994,27251547.4818
2249,320.874,1186642,380762565.10800004,2020444,648307948.056
264,17.7912,1307221,23257030.2552,3196153,56863397.2536
2123,26.1783,1109049,29033017.4367,493990,12931818.417
116,27.1629,1251874,34004528.2746,1308078,35531191.9062
1159,18.1708,1382419,25119659.1652,745403,13544568.8324
1270,263.009,1231365,323860077.285,2442528,642406846.7520001
2165,28.2044,1107422,31234173.0568,46290,1305581.676
1152,171.372,1160677,198907538.844,1042763,178700380.83600003
792,79.0312,996504,78754906.9248,86457,6832800.4584
1979,51.6033,1050839,54226760.168699995,416436,21489471.8388
2185,56.1164,1106899,62115187.0436,3504437,196656388.4668

weighted_avg,NA,NA,2643431695.91596,NA,2694859439.52654
weighted_%,NA,NA,0.49518312674358134,NA,0.5048168732564188
weighted_total,5338291135.442499
