Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200621,53973436.8066,1271864,57176137.3744
812,334.908,1500427,502505005.716,617609,206842194.972
1358,97.2156,1042006,101299238.4936,1169989,113741182.6284
1778,40.8635,1379362,56365559.087000005,263032,10748408.132000001
828,45.4532,1162854,52855435.4328,3172577,144203776.8964
2213,8.07837,1190600,9618107.321999999,336159,2715616.78083
1726,65.5195,1230008,80589509.15599999,197070,12911927.864999998
2054,37.2896,1403678,52342591.1488,109062,4066878.3552
1903,16.1097,822207,13245508.1079,35951,579159.8247
509,133.977,1145122,153420010.194,462418,61953376.386
1751,10.0901,1324006,13359352.9406,85122,858889.4922
62,40.4224,1424372,57576534.73280001,464190,18763673.856000002
2151,40.7196,1324330,53926187.868,2393514,97462932.6744
239,98.774,1450407,143262501.018,111854,11048266.996
1893,44.3029,673134,29821788.2886,59931,2655117.0999000003
1305,111.513,1246127,138959360.151,1526628,170238868.164
1673,34.2884,1381364,47364761.37760001,380985,13063366.074000001
492,45.4197,976107,44334487.1079,626708,28464889.347599998
2249,320.874,1361157,436759891.21800005,2215722,710967581.028
264,17.7912,1359165,24181176.348,3227492,57420955.6704
2123,26.1783,1109308,29039797.6164,494375,12941897.0625
116,27.1629,1253479,34048124.729100004,1309954,35582149.5066
1159,18.1708,1385153,25169338.1324,751033,13646870.4364
1270,263.009,1313626,345495460.634,2727672,717402285.0480001
2165,28.2044,1108351,31260374.9444,46343,1307076.5092
1152,171.372,1169617,200439604.52400002,1046351,179315263.57200003
792,79.0312,1191623,94175395.6376,91984,7269605.9008
1979,51.6033,1060295,54714720.9735,419617,21653621.9361
2185,56.1164,1107888,62170686.1632,3515751,197291289.4164

weighted_avg,NA,NA,2942273945.8697996,NA,2912293259.00543
weighted_%,NA,NA,0.5025604528750993,NA,0.49743954712490074
weighted_total,5854567204.87523
