Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,198551985,8925825064.881
812,334.908,177817343,59552450709.444
1358,97.2156,314270376,30551983165.065598
1778,40.8635,463597878,18944231887.653
828,45.4532,1740365050,79105160690.66
2213,8.07837,184336309,1489136908.53633
1726,65.5195,5942793,389368825.96349996
2054,37.2896,326401531,12171382530.3776
1903,16.1097,32418267,522248555.8899
509,133.977,199234774,26692877316.198
1751,10.0901,0,0.0
62,40.4224,87251686,3526922552.1664004
2151,40.7196,1542778754,62821333751.3784
239,98.774,35847746,3540825263.404
1893,44.3029,0,0.0
1305,111.513,417768746,46586646172.698006
1673,34.2884,223734089,7671483937.267601
492,45.4197,280694167,12749044856.8899
2249,320.874,375888348,120612797776.15201
264,17.7912,600070550,10675975169.16
2123,26.1783,254485106,6661987450.3998
116,27.1629,956053902,25969196534.6358
1159,18.1708,435323762,7910181014.5496
1270,263.009,643325486,169200392747.37402
2165,28.2044,2756852,77755356.5488
1152,171.372,233938382,40090488400.104004
792,79.0312,38677485,3056728052.532
1979,51.6033,165383409,8534329669.649699
2185,56.1164,2585526492,145090438835.6688

weighted_avg,NA,NA,913121193195.2477
weighted_%,NA,NA,1.0
weighted_total,913121193195.2477
