Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2716,122096.6936,0,0.0
812,334.908,4985,1669516.3800000001,0,0.0
1358,97.2156,9465,920145.654,0,0.0
1778,40.8635,3,122.5905,0,0.0
828,45.4532,298,13545.053600000001,0,0.0
2213,8.07837,9,72.70533,0,0.0
1726,65.5195,23,1506.9485,0,0.0
2054,37.2896,221,8241.0016,0,0.0
1903,16.1097,13,209.4261,0,0.0
509,133.977,6255,838026.135,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,662,26759.628800000002,0,0.0
2151,40.7196,127,5171.3892,0,0.0
239,98.774,119,11754.106,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,12463,1389786.519,0,0.0
1673,34.2884,103,3531.7052000000003,0,0.0
492,45.4197,5260,238907.622,0,0.0
2249,320.874,13314,4272116.436000001,0,0.0
264,17.7912,1098,19534.7376,0,0.0
2123,26.1783,39,1020.9537,0,0.0
116,27.1629,308,8366.1732,0,0.0
1159,18.1708,99,1798.9092,0,0.0
1270,263.009,9403,2473073.6270000003,2,526.018
2165,28.2044,4,112.8176,0,0.0
1152,171.372,443,75917.796,0,0.0
792,79.0312,806,63699.1472,0,0.0
1979,51.6033,1234,63678.4722,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,12228993.210130004,NA,526.018
weighted_%,NA,NA,0.999956987843088,NA,4.301215691211049e-05
weighted_total,12229519.228130003
