Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10814,486139.0444,5293,237944.6978
812,334.908,84978,28459812.024,6755,2262303.54
1358,97.2156,24084,2341340.5104,10245,995973.8219999999
1778,40.8635,2,81.727,0,0.0
828,45.4532,216,9817.8912,552,25090.166400000002
2213,8.07837,12,96.94044,40,323.1348
1726,65.5195,195,12776.302499999998,94,6158.833
2054,37.2896,491,18309.1936,361,13461.5456
1903,16.1097,19,306.0843,27,434.9619
509,133.977,17550,2351296.35,1399,187433.823
1751,10.0901,0,0.0,0,0.0
62,40.4224,5357,216542.7968,958,38724.6592
2151,40.7196,92,3746.2032,361,14699.775599999999
239,98.774,436,43065.464,127,12544.298
1893,44.3029,0,0.0,0,0.0
1305,111.513,31165,3475302.645,13210,1473086.73
1673,34.2884,168,5760.4512,4,137.1536
492,45.4197,13322,605081.2434,2917,132489.2649
2249,320.874,38271,12280168.854,15554,4990874.196
264,17.7912,7447,132491.0664,1693,30120.5016
2123,26.1783,21,549.7443,39,1020.9537
116,27.1629,438,11897.3502,10,271.629
1159,18.1708,95,1726.2259999999999,327,5941.8516
1270,263.009,12634,3322855.7060000002,12377,3255262.393
2165,28.2044,211,5951.1284,3,84.6132
1152,171.372,1021,174970.812,551,94425.97200000001
792,79.0312,40057,3165752.7783999997,906,71602.2672
1979,51.6033,2151,110998.69829999999,402,20744.526599999997
2185,56.1164,2,112.2328,8,448.9312

weighted_avg,NA,NA,57236949.46823999,NA,13871604.240899999
weighted_%,NA,NA,0.8049235497372098,NA,0.1950764502627903
weighted_total,71108553.70913999
