Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170322,7656757.3812,1017,45718.828199999996,3855472,173321201.57119998
812,334.908,63588,21296129.904,938,314143.704,4078697,1365988254.8760002
1358,97.2156,279989,27219298.628399998,6434,625485.1704,3276549,318531676.9644
1778,40.8635,350832,14336223.432,2843,116174.9305,17512150,715607741.525
828,45.4532,963471,43792840.0572,9266,421169.35120000003,3456834,157124167.1688
2213,8.07837,809652,6540668.42724,55406,447590.16822,4051110,32726365.4907
1726,65.5195,95518,6258291.601,1811,118655.8145,3931631,257598497.30449998
2054,37.2896,52332,1951439.3472,406,15139.5776,3320266,123811391.0336
1903,16.1097,652590,10513029.123,2535,40838.0895,2531336,40779063.559200004
509,133.977,1016050,136127330.85,5012,671492.724,2627688,352049755.176
1751,10.0901,299497,3021954.6796999997,10705,108014.5205,3208650,32375599.365
62,40.4224,59251,2395067.6224,553,22353.5872,4102366,165827479.3984
2151,40.7196,458033,18650920.5468,8487,345587.2452,3713199,151199978.0004
239,98.774,96290,9510948.46,86,8494.564,3892132,384441446.168
1893,44.3029,413760,18330767.904,672,29771.5488,1610940,71369313.726
1305,111.513,297140,33134972.82,12033,1341835.929,3681456,410530202.92800003
1673,34.2884,85295,2924629.078,58,1988.7272000000003,4745731,162723522.8204
492,45.4197,636327,28901781.4419,5641,256212.5277,2592662,117757930.2414
2249,320.874,158674,50914361.076000005,10084,3235693.416,4313679,1384147435.446
264,17.7912,624184,11104982.3808,67508,1201048.3296,3094654,55057608.2448
2123,26.1783,350038,9163399.7754,561,14686.0263,1867083,48877058.8989
116,27.1629,267639,7269851.3931,1054,28629.6966,2899491,78758584.0839
1159,18.1708,121295,2204027.1859999998,22298,405172.4984,3422373,62187255.3084
1270,263.009,171830,45192836.47,6676,1755848.084,3741770,984119185.9300001
2165,28.2044,119058,3357959.4551999997,3506,98884.6264,3387759,95549709.9396
1152,171.372,405207,69441134.00400001,8442,1446722.424,3433738,588446548.536
792,79.0312,75436,5961797.6032,75,5927.34,3727297,294572754.6664
1979,51.6033,629638,32491398.6054,17490,902541.717,2472887,127609129.7271
2185,56.1164,988161,55452037.9404,4702,263859.3128,3105981,174296472.1884

weighted_avg,NA,NA,685116837.19354,NA,14289680.478820002,NA,8927385330.2865
weighted_%,NA,NA,0.07116772108652202,NA,0.0014843657891958886,NA,0.9273479131242821
weighted_total,9626791847.95886
