Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,33664,1513351.6543999999,13924,625947.8504
812,334.908,381700,127834383.60000001,28687,9607505.796
1358,97.2156,82188,7989955.732799999,26141,2541312.9995999997
1778,40.8635,1,40.8635,3,122.5905
828,45.4532,178,8090.6696,382,17363.1224
2213,8.07837,3,24.23511,40,323.1348
1726,65.5195,595,38984.10249999999,86,5634.677
2054,37.2896,1041,38818.4736,662,24685.7152
1903,16.1097,41,660.4977,44,708.8268
509,133.977,65721,8805102.417,4823,646171.071
1751,10.0901,0,0.0,0,0.0
62,40.4224,29628,1197634.8672000002,7273,293992.1152
2151,40.7196,44,1791.6624,259,10546.3764
239,98.774,1947,192312.978,392,38719.408
1893,44.3029,0,0.0,1,44.3029
1305,111.513,103070,11493644.91,32493,3623391.909
1673,34.2884,337,11555.1908,51,1748.7084000000002
492,45.4197,49139,2231878.6382999998,8406,381797.9982
2249,320.874,142914,45857386.836,41530,13325897.22
264,17.7912,36778,654324.7536,5020,89311.824
2123,26.1783,72,1884.8376,24,628.2792
116,27.1629,771,20942.5959,11,298.7919
1159,18.1708,70,1271.956,356,6468.8048
1270,263.009,29864,7854500.776000001,21166,5566848.494
2165,28.2044,637,17966.2028,54,1523.0375999999999
1152,171.372,1796,307784.112,1037,177712.76400000002
792,79.0312,150518,11895618.1616,3516,277873.6992
1979,51.6033,3676,189693.7308,642,33129.3186
2185,56.1164,0,0.0,27,1515.1428

weighted_avg,NA,NA,228159604.45521,NA,37301223.977900006
weighted_%,NA,NA,0.8594850163089164,NA,0.14051498369108364
weighted_total,265460828.43311
