Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2264,44.9546,15.69,705.337674
812,334.908,17.573,5885.338284
1358,97.2156,17.013,1653.9290028
1778,40.8635,16.018,654.551543
828,45.4532,16.361,743.6598052
2213,8.07837,12.796,103.37082251999999
1726,65.5195,16.179,1060.0399904999997
2054,37.2896,18.133,676.1723168
1903,16.1097,11.511,185.4387567
509,133.977,19.69,2638.0071300000004
1751,10.0901,18.353,185.1836053
62,40.4224,15.258,616.7649792
2151,40.7196,17.024,693.2104704000001
239,98.774,16.523,1632.042802
1893,44.3029,14.565,645.2717385
1305,111.513,15.998,1783.984974
1673,34.2884,11.703,401.2771452
492,45.4197,18.626,845.9873322000001
2249,320.874,15.51,4976.7557400000005
264,17.7912,20.052,356.7491424
2123,26.1783,21.204,555.0846732
116,27.1629,21.783,591.6894507000001
1159,18.1708,16.741,304.1973628
1270,263.009,15.22,4002.9969800000003
2165,28.2044,17.688,498.87942719999995
1152,171.372,14.142,2423.542824
792,79.0312,17.787,1405.7279543999998
1979,51.6033,17.073,881.0231408999999
2185,56.1164,16.195,908.805098

weighted_avg,NA,NA,38015.02016591999
weighted_%,NA,NA,1.0
weighted_total,38015.02016591999
