Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,6393,287394.7578
812,334.908,34969,11711397.852
1358,97.2156,21063,2047652.1827999998
1778,40.8635,24,980.724
828,45.4532,633,28771.875600000003
2213,8.07837,7,56.54859
1726,65.5195,3,196.55849999999998
2054,37.2896,463,17265.0848
1903,16.1097,65,1047.1305
509,133.977,5067,678861.459
1751,10.0901,0,0.0
62,40.4224,1764,71305.11360000001
2151,40.7196,471,19178.9316
239,98.774,190,18767.06
1893,44.3029,0,0.0
1305,111.513,26432,2947511.616
1673,34.2884,72,2468.7648000000004
492,45.4197,7006,318210.4182
2249,320.874,40348,12946624.152
264,17.7912,4122,73335.3264
2123,26.1783,22,575.9226
116,27.1629,265,7198.1685
1159,18.1708,461,8376.7388
1270,263.009,24324,6397430.916
2165,28.2044,85,2397.374
1152,171.372,476,81573.072
792,79.0312,4187,330903.6344
1979,51.6033,354,18267.568199999998
2185,56.1164,58,3254.7511999999997

weighted_avg,NA,NA,38021003.70189
weighted_%,NA,NA,1.0
weighted_total,38021003.70189
