Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,39275,1765591.915,0,0.0,0,0.0,500,22477.3,441080,19828574.968
812,334.908,260,87076.08,0,0.0,0,0.0,19825,6639551.100000001,443950,148682406.6
1358,97.2156,1780,173043.76799999998,0,0.0,0,0.0,140620,13670457.671999998,1938565,188458759.614
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,950,38820.325000000004
828,45.4532,2445,111133.07400000001,0,0.0,0,0.0,1280,58180.096000000005,148600,6754345.5200000005
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,13365,107967.41505
1726,65.5195,65,4258.7675,0,0.0,0,0.0,0,0.0,1390,91072.105
2054,37.2896,1040,38781.184,0,0.0,0,0.0,0,0.0,48645,1813952.592
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,4635,74668.4595
509,133.977,2885,386523.645,0,0.0,0,0.0,58025,7774015.425,585765,78479037.405
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,1080,43656.192,0,0.0,0,0.0,120,4850.688,97920,3958161.4080000003
2151,40.7196,5135,209095.146,0,0.0,0,0.0,3855,156974.058,121070,4929921.972
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,6850,676601.9
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,2660,296624.58,0,0.0,0,0.0,239265,26681157.945,2927935,326502815.65500003
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,11070,379572.58800000005
492,45.4197,7320,332472.20399999997,0,0.0,0,0.0,25545,1160246.2364999999,613010,27842730.297
2249,320.874,4610,1479229.1400000001,0,0.0,0,0.0,126500,40590561.0,1649990,529438891.26000005
264,17.7912,8710,154961.352,0,0.0,0,0.0,100,1779.12,147940,2632030.128
2123,26.1783,0,0.0,0,0.0,0,0.0,0,0.0,6000,157069.8
116,27.1629,0,0.0,0,0.0,0,0.0,0,0.0,24945,677578.5405
1159,18.1708,6160,111932.128,0,0.0,0,0.0,40,726.832,68435,1243518.698
1270,263.009,251580,66167804.220000006,0,0.0,0,0.0,18510,4868296.59,4500805,1183752222.2450001
2165,28.2044,65,1833.286,0,0.0,0,0.0,0,0.0,2125,59934.35
1152,171.372,6240,1069361.28,0,0.0,0,0.0,135,23135.22,46015,7885682.580000001
792,79.0312,65,5137.028,0,0.0,0,0.0,0,0.0,64195,5073407.884
1979,51.6033,28370,1463985.6209999998,0,0.0,0,0.0,15215,785144.2095,280335,14466211.1055
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,6790,381030.35599999997

weighted_avg,NA,NA,73902500.61050001,NA,0.0,NA,0.0,NA,102437553.49200001,NA,2554386985.7705503
weighted_%,NA,NA,0.027063305680649682,NA,0.0,NA,0.0,NA,0.03751292311397124,NA,0.9354237712053791
weighted_total,2730727039.87305
