Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2192338,98555677.8548,67666,3041897.9636,2339,105148.8094,3217,144618.94819999998
812,334.908,1427994,478246614.55200005,551440,184681667.52,1880,629627.04,72,24113.376
1358,97.2156,1793170,174324097.452,148486,14435155.5816,30816,2995795.9296,5664,550629.1584
1778,40.8635,1575285,64371658.597500004,0,0.0,19,776.4065,10,408.635
828,45.4532,3846190,174821643.308,79,3590.8028000000004,642,29180.954400000002,1602,72816.0264
2213,8.07837,1482282,11974422.44034,0,0.0,0,0.0,157,1268.3040899999999
1726,65.5195,1391727,91185257.1765,953,62440.08349999999,44,2882.8579999999997,0,0.0
2054,37.2896,1450575,54091361.52,2748,102471.8208,17,633.9232,520,19390.592
1903,16.1097,849657,13687719.3729,24,386.6328,123,1981.4931,34,547.7298
509,133.977,1429644,191539414.188,68392,9162954.984000001,31792,4259396.784,1186,158896.722
1751,10.0901,1389355,14018730.885499999,0,0.0,0,0.0,0,0.0
62,40.4224,1765851,71379935.4624,44601,1802879.4624,770,31125.248000000003,547,22111.0528
2151,40.7196,3305515,134599248.594,4,162.8784,13,529.3548,1317,53627.7132
239,98.774,1540853,152196214.222,3193,315385.382,8,790.192,3,296.322
1893,44.3029,724181,32083318.4249,0,0.0,0,0.0,0,0.0
1305,111.513,2219728,247528528.46400002,190640,21258838.32,33379,3722192.427,13119,1462939.047
1673,34.2884,1703290,58403088.836,634,21738.8456,72,2468.7648000000004,32,1097.2288
492,45.4197,1417155,64366754.953499995,59966,2723637.7302,26668,1211252.5596,1502,68220.3894
2249,320.874,2861182,918078913.0680001,280649,90052967.22600001,30576,9811043.424,700,224611.80000000002
264,17.7912,4020271,71525445.4152,59413,1057028.5656,26,462.5712,1546,27505.1952
2123,26.1783,1547110,40500709.713,154,4031.4582,68,1780.1244,9,235.6047
116,27.1629,2392074,64975666.854600005,1624,44112.5496,4,108.6516,182,4943.6478
1159,18.1708,2013706,36590648.984799996,161,2925.4988,128,2325.8624,2034,36959.4072
1270,263.009,3340853,878674406.677,81392,21406828.528,8525,2242151.725,26966,7092300.694
2165,28.2044,1145538,32309211.9672,1056,29783.8464,0,0.0,5,141.022
1152,171.372,2030981,348053275.93200004,633,108478.47600000001,4725,809732.7000000001,22,3770.184
792,79.0312,1068663,84457719.28559999,199782,15789011.1984,137,10827.2744,91,7191.839199999999
1979,51.6033,1397694,72125622.7902,181,9340.1973,6203,320095.26989999996,2395,123589.9035
2185,56.1164,4151161,232948211.1404,0,0.0,0,0.0,78,4377.0792

weighted_avg,NA,NA,4907613518.1323395,NA,366117715.55200005,NA,26192310.347299997,NA,10106607.62189
weighted_%,NA,NA,0.9242157535779946,NA,0.06894833081842143,NA,0.004932610474752913,NA,0.00190330512883111
weighted_total,5310030151.653529
