Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1145281,51485649.2426,1047057,47070028.6122
812,334.908,1042024,348982173.792,385970,129264440.76
1358,97.2156,933553,90755915.02679999,859617,83568182.4252
1778,40.8635,1367616,55885576.416,207669,8486082.1815
828,45.4532,1160666,52755983.8312,2685524,122065659.47680001
2213,8.07837,1190162,9614568.99594,292120,2359853.4444
1726,65.5195,1227357,80415816.96149999,164370,10769440.215
2054,37.2896,1363851,50857458.2496,86724,3233903.2704
1903,16.1097,820199,13213159.8303,29458,474559.5426
509,133.977,1053783,141182684.991,375861,50356729.197000004
1751,10.0901,1322131,13340434.0031,67224,678296.8824
62,40.4224,1386447,56043515.2128,379404,15336420.2496
2151,40.7196,1302204,53025225.9984,2003311,81574022.5956
239,98.774,1447793,143004305.782,93060,9191908.44
1893,44.3029,673012,29816383.3348,51169,2266935.0901
1305,111.513,1099015,122554459.69500001,1120713,124974068.76900001
1673,34.2884,1379270,47292961.468,324020,11110127.368
492,45.4197,908771,41276106.1887,508384,23090648.7648
2249,320.874,1187222,380948672.02800006,1673960,537130241.0400001
264,17.7912,1308418,23278326.3216,2711853,48247119.0936
2123,26.1783,1109172,29036237.3676,437938,11464472.3454
116,27.1629,1251822,34003115.8038,1140252,30972551.0508
1159,18.1708,1382671,25124238.2068,631035,11466410.777999999
1270,263.009,1235683,324995750.147,2105170,553678656.53
2165,28.2044,1107408,31233778.1952,38130,1075433.7719999999
1152,171.372,1160123,198812598.756,870858,149240677.176
792,79.0312,996453,78750876.3336,72210,5706842.952
1979,51.6033,1051418,54256638.479399994,346276,17868984.310799997
2185,56.1164,1106056,62067880.9184,3045105,170880330.222

weighted_avg,NA,NA,2644010491.57714,NA,2263603026.5552006
weighted_%,NA,NA,0.5387568686507641,NA,0.46124313134923584
weighted_total,4907613518.13234
