Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,84527,3799877.4742,20550,923817.03
812,334.908,708667,237338247.636,13936,4667277.888
1358,97.2156,559157,54358783.249199994,22080,2146520.448
1778,40.8635,13707,560115.9945,12437,508219.3495
828,45.4532,19636,892519.0352,4657,211675.55240000002
2213,8.07837,4577,36974.69949,1559,12594.178829999999
1726,65.5195,2548,166943.686,2345,153643.22749999998
2054,37.2896,109317,4076387.2032,41282,1539389.2672000001
1903,16.1097,8979,144648.9963,2121,34168.6737
509,133.977,90046,12064092.942,2149,287916.57300000003
1751,10.0901,886,8939.828599999999,2214,22339.4814
62,40.4224,4408,178181.93920000002,3698,149482.0352
2151,40.7196,60301,2455432.5996,30951,1260312.3396
239,98.774,2215,218784.41,102,10074.948
1893,44.3029,416,18430.006400000002,216,9569.4264
1305,111.513,699067,77955058.371,41669,4646635.197000001
1673,34.2884,1772,60759.0448,2006,68782.5304
492,45.4197,153428,6968653.7316,2677,121588.53689999999
2249,320.874,715514,229589839.23600003,35545,11405466.33
264,17.7912,22016,391691.0592,21309,379112.6808
2123,26.1783,2265,59293.849500000004,261,6832.5363
116,27.1629,1129,30666.9141,1573,42727.2417
1159,18.1708,14580,264930.264,5430,98667.444
1270,263.009,591759,155637942.831,175040,46037095.36
2165,28.2044,1,28.2044,0,0.0
1152,171.372,21718,3721857.0960000004,7143,1224110.196
792,79.0312,10790,852746.6479999999,302,23867.4224
1979,51.6033,35557,1834858.5381,2586,133446.13379999998
2185,56.1164,16364,918288.7696,12760,716045.264

weighted_avg,NA,NA,794604974.25719,NA,76841377.29202999
weighted_%,NA,NA,0.9118231694292773,NA,0.08817683057072266
weighted_total,871446351.54922
