Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
4118,2431.67,556427,1353046843.0900002,747561,1817821656.8700001,261,634665.87,0,0.0,38553,93748173.51,6,14590.02,18,43770.06
1010,22.174,842748,18687094.152,734515,16287135.61,728,16142.672,0,0.0,38989,864542.086,106,2350.444,309,6851.766
1362,2347.06,550880,1292948412.8,744724,1747911911.44,343,805041.58,0,0.0,38441,90223333.46,4,9388.24,20,46941.2
5198,1186.62,562283,667216253.4599999,747287,886745699.9399999,327,388024.74,0,0.0,38401,45567394.62,6,7119.719999999999,24,28478.879999999997

weighted_avg,NA,NA,3331898603.502,NA,4468766403.86,NA,1843874.862,NA,0.0,NA,230403443.676,NA,33448.424,NA,126041.90599999999
weighted_%,NA,NA,0.4147726647694397,NA,0.5562960852449139,NA,0.00022953546341695084,NA,0.0,NA,0.02868186030784555,NA,4.163839781989859e-06,NA,1.5690374601823577e-05
weighted_total,8033071816.23
