Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
4118,2431.67,13.715,33350.35405
1010,22.174,14.151,313.784274
1362,2347.06,13.694,32140.63964
5198,1186.62,13.716,16275.679919999997

weighted_avg,NA,NA,82080.457884
weighted_%,NA,NA,1.0
weighted_total,82080.457884
