Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
4118,2431.67,326081,792921385.27
1010,22.174,320280,7101888.72
1362,2347.06,324279,761102269.74
5198,1186.62,329867,391426779.53999996

weighted_avg,NA,NA,1952552323.27
weighted_%,NA,NA,1.0
weighted_total,1952552323.27
