Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
4118,2431.67,20,48633.4
1010,22.174,21,465.654
1362,2347.06,20,46941.2
5198,1186.62,21,24919.019999999997

weighted_avg,NA,NA,120959.274
weighted_%,NA,NA,1.0
weighted_total,120959.274
