Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
4118,2431.67,1565403,3806543513.01,1817244,4418937717.4800005
1010,22.174,1568280,34775040.72,1821034,40379607.916
1362,2347.06,1563455,3669522692.2999997,1826975,4288019943.5
5198,1186.62,1565698,1857888560.7599998,1778061,2109882743.8199997

weighted_avg,NA,NA,9368729806.789999,NA,10857220012.716
weighted_%,NA,NA,0.4632034535038129,NA,0.5367965464961871
weighted_total,20225949819.505997
